Location,Name,Asset Status,Model,Serial Number,Date of Last Service,Last Service Description,Next Service Description,Next Service Due,
,Navigator Battery #871 (Auto Vent),on,NBN0002-0,HRHS-94452,"Jun 20, 2022",2A Service,2A Service,"Jun 20, 2023",
,Navigator Battery #872 (Auto Vent),on,NBN0002-0,HRHS-94463,"Jun 20, 2022",2A Routine Service,2A Service,"Jun 19, 2023",
,Navigator Battery #873 (Auto Vent),on,NBN0002-0,HRHS-94474,"Dec 19, 2019",New,2A Service,"Dec 18, 2020",
,Navigator Battery #977 (Auto Vent),on,NBN0002-0,ASHS-106696,"May 01, 2021",New,2A Service,"May 01, 2022",
,Navigator Battery #986 (Auto Vent),on,NBN0002-0,ASHS-106785,"Jul 27, 2022",New,2A Service,"Jan 26, 2023",
,Navigator Battery #987 (Auto Vent),on,NBN0002-0,ASHS-106796,"Jan 27, 2022",New,2A Service,"Jan 26, 2023",
,Navigator Battery #991 (Auto Vent),on,NBN0002-0,ASHS-106830,"Jan 27, 2022",New,2A Service,"Jan 26, 2023",
,Navigator Battery #980 (Auto Vent),on,NBN0002-0,ASHS-106729,"Jan 27, 2022",New,2A Service,"Jan 26, 2023",
,Navigator Battery #981 (Auto Vent),on,NBN0002-0,ASHS-106730,"Jan 30, 2025",2A Service,1A Service,"Jan 30, 2026",
,Navigator Battery #988 (Auto Vent),on,NBN0002-0,ASHS-106807,"Jan 27, 2022",New,2A Service,"Jan 26, 2023",
,Navigator Battery #982 (Auto Vent),on,NBN0002-0,ASHS-106741,"Aug 09, 2022",Repair,2A Service,"Aug 08, 2023",
,Navigator Battery #983 (Auto Vent),on,NBN0002-0,ASHS-106752,"Jan 27, 2022",New,2A Service,"Jan 26, 2023",
,Navigator Battery #989 (Auto Vent),on,NBN0002-0,ASHS-106818,"Jan 27, 2022",New,2A Service,"Jan 26, 2023",
,Navigator Battery #984 (Auto Vent),on,NBN0002-0,ASHS-106763,"Jan 30, 2025",2A Service,1A Service,"Jan 30, 2026",
,Navigator Battery #985 (Auto Vent),on,NBN0002-0,ASHS-106774,"Jan 27, 2022",New,2A Service,"Jan 26, 2023",
,Navigator Battery #990 (Auto Vent),on,NBN0002-0,ASHS-106829,"Jan 27, 0202",New,2A Service,"Jan 26, 2023",
,Navigator Battery (Auto Vent).,on,NBN0002-0,ASHS-106929 ,"Jan 27, 2022",New,2A Service,"Jan 26, 2023",
,Navigator Battery #1147 (Auto Vent).,on,NBN0002-0,ARSK-134953,"Sep 08, 2023",New,1A Service,"Sep 07, 2024",
,Navigator Sonars,on,,,,,,,
,P450-45-I #303,on,P450-45-I,303,"Feb 04, 2022",1A Sonar Checks.,2A Sonar Service and Checks.,"Feb 04, 2023",
,Navigator Sonar P900-45 #304,,P900-45-I,304,"Jun 20, 2022",2A Sonar Service and Checks.,1A Sonar Service and Checks.,,
,P900-45 #302,on,P900-45-I,302,"Apr 12, 2019",Repair - J3557.,2A Sonar Service and Checks.,"Apr 12, 2021",
,P900E-20 #00226,on,P900E-20,#00226,"May 13, 2021",2A Sonar Check and Service,1A Sonar Check and Service,"May 13, 2022",
,P450-45-I #2325,on,P450-45-I,#2325,"Sep 15, 2020",2A Sonar Service and Check,1A Sonar Service and Check,"Sep 15, 2021",
,P450-45-I #302,on,P450-45-I,#302,"May 12, 2023",1A Sonar Service and Checks.,2A Sonar Checks,"May 12, 2024",
,M450-130 #3884,on,M450-130-S-MKS10,#3884,"Jul 11, 2020",2A Sonar Service and Checks.,1A Sonar Service and Checks.,"Jul 11, 2021",
,M450-130 #3846,on,M450-130,#3846,"Jan 22, 2019",New,1A Sonar Service and Checks.,"Jan 22, 2020",
,S900/2250-130/45,on,NVSM2130-0,2019012,"May 12, 2023",2A Sonar Service and Checks.,1A Sonar Checks.,"May 12, 2024",
,S900/2250-130/45,on,NVSM2130-0,2019014,"Aug 13, 2024",2A Sonar Service and Checks.,1A Sonar Service and Checks.,"Aug 14, 2024",
,S900/2250-130/45  S160,on,NVSS2130-0 S Series,4120104,"Nov 15, 2024",2A Service,1A Sonar Service and Checks.,"Nov 20, 2025",
,S900/2250-130/45  S168,on,NVSS2130-0 S Series,4120107,"Jan 31, 2021",New,1A Sonar Service and Checks.,"Jan 31, 2022",
,S900/2250-130/45,on,NVSS2130-0,5120038,"May 31, 2023",1A Sonar Service and Checks.,2A Sonar Service and Checks.,"May 31, 2024",
,S900/2250-130/45,on,NVD2000-S130,0921005,"Jan 20, 2022",New,1A Sonar Service and Checks.,"Jan 20, 2023",
,S900/2250-130/45,on,NVD2000-S130,0921006,"Jan 24, 2022",New,1A Sonar Service and Checks.,"Jan 24, 2023",
,S900/2250-130/45,on,NVD2000-S130,4420001,"Jan 24, 2022",New,1A Sonar Service and Checks.,"Jan 24, 2023",
,S900/2250-130/45,on,NVD2000-S130,5120040,"Jan 24, 2022",New,1A Sonar Service and Checks.,"Jan 24, 2023",
,S900/2250-N130/45 MK2 ,on,NV552130-0,0723014,"Jan 03, 2024",New,1A Service,"Jan 03, 2025",
,Navigator Cameras,on,,,,,,,
,Navigator SV-USB Camera #2,on,NCAM2000,SEHA-22442,"Sep 15, 2020",2A Camera Service,1A Camera Service,"Sep 15, 2021",
,Navigator SV-USB Camera #4,on,NCAM2000,SEHA-22419,"May 12, 2023",1A Camera Service,2A Camera Service,"May 12, 2024",
,Navigator HD Digital Camera #6,on,NCAM3000,HMSU-73695,"Jan 27, 2022",1A Camera Service,2A Camera Service,"Jan 27, 2023",
,Navigator HD Digital Camera,on,NCAM3000,HASE-80648,"Feb 03, 2020",New,1A Camera Service,"Feb 03, 2021",
,Navigator HD Digital Camera,on,NCAM3000,HMSH-66989,"Nov 09, 2023",2A Camera Service,1A Camera Service,"Nov 09, 2024",
,Navigator HD Digital Camera,on,NCAM3000,HMSU-73154,"Feb 03, 2020",New,1A Camera Service,"Feb 03, 2021",
,Navigator HD Digital Camera,on,NCAM3000,HASE-80615,"Feb 03, 2020",New,1A Camera Service,"Feb 03, 2021",
,Navigator HD Digital Camera,on,NCAM3000,HASE-80693,"Feb 03, 2020",New,1A Camera Service,"Feb 03, 2021",
,Navigator HD Digital Camera,on,NCAM3000,HASE-80659,"Feb 03, 2020",New,1A Camera Service,"Feb 03, 2021",
,Navigator USB HD Digital Camera,on,NCAM3000,HRHS-94160,"Jan 24, 2022",New,1A Camera Service,"Jan 24, 2023",
,Navigator USB HD Digital Camera,on,NCAM3000,HRHS-94272,"Jan 24, 2022",New,1A Camera Service,"Jan 24, 2023",
,Navigator USB HD Digital Camera,on,NCAM3000,HRHS-94137,"Jan 24, 2022",New,1A Camera Service,"Jan 24, 2023",
,Navigator USB HD Digital Camera,on,NCAM3000,HRHS-94317,"Jan 24, 2022",New,1A Camera Service,"Jan 24, 2023",
,Navigator USB HD Digital Camera,on,NAVCAM 3,AHSB-118422,"Sep 08, 2023",New,1A Camera Service,"Sep 08, 2024",
,Navigator Floating GPS ,on,GPSS0000-0,,,,,,
, Floating GPS # SEHA-22554,on,GPSS0000-0,SEHA-22554,"Jun 13, 2018",Repair,Scheduled Preventative Maintenance Programme,"Jun 13, 2020",
,Floating GPS # SESE-21755,on,GPSS0000-0,SESE-21755,"Nov 12, 2019",Repair,Scheduled Preventative Maintenance Programme,"Jan 12, 2021",
,Floating GPS # SESE-21777,,GPSS0000-0,SESE-21777,"Nov 12, 2019",Offline,Offline,,
,Floating GPS # HRSE-44299,on,GPSS0000-0,HRSE-44299,"Jan 13, 2025",2A Service & Repair,2A Service,"Jan 12, 2027",
,Floating GPS # HRSR-40790,on,GPSS0000-0,HRSR-40790,"May 13, 2025",2A Service and Repairs.,2A Service,"Jan 12, 2027",
,Floating GPS # HRSR-40969,on,GPSS0000-0,HRSR-40969,"Oct 05, 2018",2A Service,Scheduled Preventative Maintenance Programme,"Oct 05, 2020",
,Floating GPS # HASU-36717,,GPSS0000-0,HASU-36717,,Offline,Offline,,
,Floating GPS # HRSE-44389,,GPSS0000-0,HRSE-44389,,Offline,Offline,,
,Floating GPS # HRSR-40914,on,GPSS0000-0,HRSR-40914,"Jan 15, 2016",2A Service,Scheduled Preventative Maintenance Programme,"Jan 15, 2018",
,Floating GPS # HMSN-69487,on,GPSS0000-0,HMSN-69487,"Jan 13, 2025",2A Service,2A Service,"Jan 12, 2027",
,Floating GPS # HUSE-60220,on,GPSS0000-0,HUSE-60220,"Jan 13, 2025",2A Service & Repairs,2A Service,"Jan 12, 2027",
,Floating GPS # HAHS-81447,on,GPSS0000-0,HAHS-81447,"Apr 04, 2019",New,Scheduled Preventative Maintenance Programme,"Apr 04, 2021",
,Navigator Floating GPS Extension Kit - Case 2A,on,FGPS0000,2A,"Feb 03, 2020",New,Scheduled Preventative Maintenance Programme,"Feb 03, 2022",
,Navigator Floating GPS Extension Kit - Case 2B,on,FGPS0000,2B,"Feb 03, 2020",New,Scheduled Preventative Maintenance Programme,"Feb 03, 2022",
,Floating GPS # HAHS-81515,on,GPSS0000-0,HAHS-81515,"Feb 03, 2020",New,Scheduled Preventative Maintenance Programme,"Feb 03, 2022",
,Floating GPS # HAHS-81481,on,GPSS0000-0,HAHS-81481,"Feb 03, 2020",New,Scheduled Preventative Maintenance Programme,"Feb 03, 2022",
,Floating GPS # HRSE-39574,on,NAVGPSX,HRSE-39574,"Sep 15, 2020",New,Scheduled Preventative Maintenance Programme,"Sep 15, 2022",
,Floating GPS # AHSR-113316,on,GPSS0000-0,AHSR-113316,"Jul 27, 2021",New,Scheduled Preventative Maintenance Programme,"Jul 27, 2023",
,Floating GPS # AHSR-113272,on,GPSS0000-0,AHSR-113272,"Jan 02, 2022",New,Scheduled Preventative Maintenance Programme,"Jan 02, 2024",
,Floating GPS # AHSR-113283,on,GPSS0000-0,AHSR-113283,"Jan 13, 2025",2A Servce,2A Service,"Jan 12, 2027",
,Floating GPS # AHSR-113294,on,GPSS0000-0,AHSR-113294,"Jan 02, 2022",New,Scheduled Preventative Maintenance Programme,"Jan 02, 2024",
,Floating GPS # AHSR-113305,on,GPSS0000-0,AHSR-113305,"Jan 02, 2022",New,Scheduled Preventative Maintenance Programme,"Jan 02, 2024",
,Navigator Battery Chargers,,"NBC0003, NBC0003 (R2) (uplink)",,,,,,
,Navigator Surface GPS.,on,P/N: NGPS0000,,,,,,
,Surface Flip GPS #1 - HKSN-50128,on,NGPS0000,HKSN-50128,"Jun 20, 2018",Part of 2A Service and Maintenance.,"1A Service and Check, as per Manual",,
,Surface Flip GPS #2 - HKSN-50117,on,NGPS0000,HKSN-50117,"Jun 20, 2018",Part of 2A Service and Checks.,"1A Service and Check, as per Manual",,
,Surface Flip GPS #HKSM-50140,on,SGPS0001-0,HKSM-50140,"Oct 16, 2020","1A Service and Check, as per Manual","1A Service and Check, as per Manual",,
,Surface Flip GPS #HKSM-50151,on,SGPS0001-0,HKSM-50151,"May 12, 2023","1A Service and Check, as per Manual","1A Service and Check, as per Manual",,
,Surface Flip GPS #HASE-80862,on,SGPS1000,HASE_80862,"Oct 02, 2018",New,"1A Service and Check, as per Manual",,
,Surface Flip GPS #HASE-80884,on,SGPS1000,HASE 80884,"Oct 02, 2018",New,"1A Service and Check, as per Manual",,
,Surface Flip GPS #HASE-80895,on,SGPS1000,HASE-80895,"Oct 02, 2018",New,"1A Service and Check, as per Manual",,
,Surface Flip GPS #HASE-80918,on,SGPS1000,HASE-80918,"Oct 02, 2018",New,"1A Service and Check, as per Manual",,
,Surface Flip GPS #HASE-80963,on,SGPS1000,HASE-80963,"Oct 02, 2018",New,"1A Service and Check, as per Manual",,
,Surface Flip GPS ASSM-100978,,SGPS1000,ASSM-100978,,Offline,Offline,,
,Surface Flip GPS ASSM-101124,on,SGPS1000,ASSM-101124,"Jan 24, 2022",New,"1A Service and Check, as per Manual",,
,Surface Flip GPS ASSM-101179,on,SGPS1000,ASSM-101179,"Jan 24, 2022",New,"1A Service and Check, as per Manual",,
,Surface Flip GPS ASSM-101079,,SGPS1000,ASSM-101079,,Offline,Offline,,
,Surface Flip GPS AHHS-121026,on,SGPS1000,AHHS-121026,"Oct 07, 2022",New,"1A Service and Check, as per Manual",,
,Surface Flip GPS AHHS-120847,on,SGPS1000,AHHS-120847,"Oct 07, 2022",New,"1A Service and Check, as per Manual",,
,Surface Flip GPSASSM-121026,on,SGPS1000,ASSM-121026,"Jan 24, 2022",New,"1A Service and Check, as per Manual",,
,Navigator LBL Sets,on,,,,,,,
,Navigator DNS,on,DNS,,,,,,
,Navigator Altimeter,on,,,,,,,
,DiveLog ToughBooks CF-54H1635VA,on,CF-54H1635VA,,,,,,
,DiveLog Security Dongles,on,USB 905-687-6672,As listed:-,,,,,
,Panasonic Toughbooks for DF2 Divelog,on,,,,,,,
,Navigator LiPo Batteries,on,11116900,,,,,,
,Navigator LiPo Battery #017,on,11116900,AHSM-117332,"Jun 20, 2022",New,2 Year Preventative Maintenance Programme,"Jun 20, 2024",
,Navigator LiPo Battery #018,on,11116900,AHSM-117343,"Jun 20, 2022",New,2 Year Preventative Maintenance Programme,"Jun 20, 2024",
,Navigator LiPo Battery #019,on,11116900,AHSM-117354,"Jun 20, 2022",New,2 Year Preventative Maintenance Programme,"Jun 20, 2024",
,Navigator LiPo Battery #020,on,11116900,AHSM-117365,"Jun 20, 2022",New,2 Year Preventative Maintenance Programme,"Jun 20, 2024",
,Navigator LiPo Battery #021,on,11116900,AHSM-117376,"Jun 20, 2022",New,2 Year Preventative Maintenance Programme,"Jun 20, 2024",
,Navigator LiPo Battery #022,on,11116900,AHSM-117387,"Jun 20, 2022",New,2 Year Preventative Maintenance Programme,"Jun 20, 2024",
,Navigator LiPo Battery #023,on,11116900,AHSM-117398,"Jun 20, 2022",New,2 Year Preventative Maintenance Programme,"Jun 20, 2024",
,Navigator LiPo Battery #024,on,11116900,AHSM-117409,"Jun 20, 2022",New,2 Year Preventative Maintenance Programme,"Jun 20, 2024",
,Navigator LiPo Battery Chargers,on,11117071,,,,,,
,Rapid Beach Profiling System,on,NAVRBPS,,,,,,
,Navigator Magnetometer Probe #SBHA-20428,on,SDM-4000   9600 bauds,SBHA-20428,"Oct 05, 2018",2A Service,1A Service and Checks.,"Oct 05, 2019",
,Divelog Desktop Software,on,,,,,,,
,MAKO DIVER DELIVERY SYSTEM,on,MAKO mk.6,,,,,,
,MAKO#1 DDS,on,"11112568 (6 thruster model), MAKO  mk.6 ",HKSU-49665,"Aug 31, 2023",2A Service,1A Service,"Aug 31, 2024",
,MAKO Thruster (DW),on,11116009,672-PAH	,"Aug 31, 2023",2A Service,1A Service,"Aug 31, 2024",
,MAKO Thruster (DW),on,11116009,667-PFH,"Aug 31, 2023",2A Service,1A Service,"Aug 31, 2024",
,MAKO Thruster (DW),on,11116009,669-PFV,"Aug 31, 2023",2A Service,1A Service,"Aug 31, 2024",
,MAKO Thruster (DW),on,11116009,675-SAH,"Aug 31, 2023",2A Service,1A Service,"Aug 31, 2024",
,MAKO Thruster (DW),on,11116009,592-SFH,"Aug 31, 2023",2A Service,1A Service,"Aug 31, 2024",
,MAKO Deepwater Thruster - LH Rotation,on,11116009,AHSU-116264,"Aug 31, 2023",2A Service,1A Service,"Aug 31, 2024",
,MAKO GPS Pole,on,11113635,HKSE-51062,"Aug 31, 2023",2A Service,1A Service,"Aug 31, 2024",
,MAKO Control Box,on,11113119,HNHA-55392,"Aug 31, 2023",2A Service,1A Service,"Aug 31, 2024",
,MAKO#2 DDS,on,"11112568 (6 thruster model), MAKO mk.6",HRSM-92955,"Oct 27, 2022",2A Service,1A Service,"Oct 27, 2023",
,MAKO Thruster (NDW),on,11116009,ASSM - 126943,"Oct 27, 2022",1A Service,1A Service,"Oct 27, 2023",
,MAKO Thruster (NDW),on,11116009,AASM - 126965,"Oct 27, 2022",2A Service,1A Service,"Oct 27, 2023",
,MAKO Thruster (NDW),on,11116009,AASM - 126954,"Oct 27, 2022",2A Service,1A Service,"Oct 27, 2023",
,MAKO Thruster (NDW),on,11116009,AASM-126932,"Oct 27, 2022",2A Service,1A Service,"Oct 27, 2023",
,MAKO Thruster (NDW),on,11116009,AASM - 126987,"Oct 27, 2022",2A Service,1A Service,"Oct 27, 2023",
,MAKO Thruster Control Box,on,11114603  (11114587),HKSE-50566,"Oct 18, 2024",2A Service,1A Service,"Oct 18, 2025",
,MAKO Control Box,on,11113119,HRHS-93855,"Oct 27, 2022",2A Service,1A Service,"Oct 27, 2023",
,MAKO GPS Pole,on,11114327  (11113635),HKHS-51703,"Oct 27, 2022",2A Service,1A Service,"Oct 27, 2023",
,MAKO Thruster (NDW),on,11116009,AHSU-116342,"Oct 27, 2022",New,1A Service,"Oct 27, 2023",
,MAKO Battery Pods,on,11112599,,,,,,
,MAKO Battery Pod 595,on,11112599,HKSA-47595,"Sep 06, 2021",1A Service,2A,"Sep 06, 2022",
,MAKO Battery Pod 607*,on,11112599,HKSA-47607,"Sep 04, 2023",2A Service & New Batteries.,1A Service,"Sep 04, 2024",
,MAKO Battery Pod 618*,on,11112599,HKSA-47618,"Sep 04, 2023",2A Service & New Batteries.,1A Service,"Sep 04, 2024",
,MAKO Battery Pod 629,,11112599,HKSA-47629,"Sep 04, 2023",Offline,1A Service,,
,MAKO Battery Pod 630,on,11112599,HKSA-47630,"Sep 06, 2021",1A Service,2A Service,"Sep 06, 2022",
,MAKO Battery Pod 641,on,11112599,HKSA-47641,"Sep 06, 2021",1A Service,2A Service,"Sep 06, 2022",
,MAKO Battery Pod 652,on,11112599,HKSA-47652,"Sep 06, 2021",1A Service,2A Service,"Sep 06, 2022",
,MAKO Battery Pod 663*,on,11112599,HKSA-47663,"Sep 04, 2023",2A and Replace Batteries.,1A Service,"Sep 04, 2024",
,MAKO Battery Pod 991 Spare,on,11112599,HKSM-49991,"Apr 03, 2017",2A Service,In 2A Service Now.,"Apr 03, 2022",
,MAKO Battery Pod - HNSR-56663,on,11112599,HNSR-56663,,,,,
,MAKO Battery Chargers,on,11112499,,,,,,
,MAKO DDS Accessories Kit,on,,,,,,,
,BARRACUDA ROV SYSTEM,on,BARRACUDA - P/N 11114259,HNSR-56900 (vehicle),,,,,
,BARRACUDA ROV VEHICLE,on,Barracuda,HNSR-56900,"Apr 06, 2024",2A Service,1A,"Apr 05, 2025",
,"MANIPULATOR, DUAL FUNCTION",on,,,,,,,
,Thruster Model 560,,560,314-815(DEFECTIVE,,Offline,Offline,,
,AURORA LEDs.,on,AURORA-4,"HNSE-54560, HNSE-54548","Apr 06, 2024",2A Service,1A Service.,"Apr 06, 2025",
,Multi-Beam Sonar (Barracuda),on,M900/2230,#3032,"Nov 22, 2024",Repair,1A Service,"Nov 22, 2025",
,"GPS, Pole Mount, ROV",on,SGPS 0000,HNSR-52074,"Apr 06, 2024",2A Service,1A Service,"Apr 06, 2025",
,Thruster Model 560,on,560,314-1025. ,"Apr 06, 2024",2A Service,1A Service,"Apr 06, 2025",
,Thruster Model 560,on,560,314-1025,"Apr 06, 2024",2A Service ,1A Service,"Apr 06, 2025",
,Thruster Model 560,on,560,314-1030,"Apr 06, 2024",2A Service ,1A Service,"Apr 06, 2025",
,Thruster Model 560,on,560,"314-1034, ","Apr 06, 2024",2A Service,1A Service,"Apr 06, 2025",
,Thruster Model 560,on,560,314-1026,"Apr 06, 2024",2A Service,1A Service ,"Apr 06, 2025",
,BARRACUDA UMBILICAL CABLES,on,,,,,,,
,BARRACUDA Cable Reel Assembly,on,CR2-2424-M,HNSU-58890,"Apr 06, 2024",2A Service and Checks.,1A Service,"Apr 06, 2025",
,BARRACUDA 100M UMBILICAL CABLE ASSEMBLY,on,100Metre Umbilical Drwg11114870,,"Apr 06, 2024",2A Service and Checks,1A Service,"Apr 06, 2025",
,BARRACUDA 7.5M Deck Cable Assembly,on,7.5Metre Umbilical Drwg 11114870,,"Apr 06, 2024",2A Service and Checks,1A Service,"Apr 06, 2025",
,TRACKLINK 1500LC SYSTEM,on,TL-1500LC,,,,,,
,TRACKLINK TRANSCEIVER 1500LC,on,1500LC,#014668,"Apr 06, 2024",New,2A Service and Checks.,"Apr 06, 2025",
,TRACKLINK TRANSPONDER 1505B,on,1505B,#011346,"Apr 06, 2024",New,2A Service and Checks.,"Apr 06, 2025",
,TOPSIDE CONTROLLER Mk111,on,Mk3,HNSU-58711,"Apr 06, 2024",2A Service,1A Service,"Apr 06, 2025",
,ROV TRANSFORMER 115/230 VAC 2 KVA,on,,HNSU-58889,"Aug 12, 2024",2A Service ,2A Service,"Aug 12, 2026",
,"HEADING,PITCH,ROLL SENSOR ASSEMBLY",on,HPR Sensor,HNSU-58957,"Apr 06, 2024",2A Service,1A Service,"Apr 06, 2025",
,BARRACUDA QUICK RELEASE & RECOVERY HOOK,,,,,,Offline,,
,ROV ACCESSORY CASE,on,,,,,,,
,COMPREHENSIVE SPARE PARTS KIT,on,,,,,,,
,BARRACUDA PROSTICK ROV CONTROLLER,on,11114066,HNSN-52782,"Apr 06, 2024",2A Service,1A Service,"Apr 06, 2025",
,REMUS 100 AUV Systems.,on,,,,,,,
,REMUS 01335 - Scar,on,R100,01335,"Mar 07, 2023",2A REMUS RFM Maintenance,2A REMUS RFM Maintenance ,"Mar 07, 2025",
,REMUS 01384 - Snowflake,on,R100,01384,"Aug 15, 2024",New IMU and Service,2A Service,"Aug 15, 2026",
,REMUS 01358 - Grief,on,R100,01358,"Oct 22, 2024",2A REMUS RFM Maintenance,2A REMUS RFM Maintenance,"Oct 22, 2026",
