Location,Name,Asset Status,Model,Serial Number,Unspc Code,Date of Last Service,Last Service Description,Next Service Description,Next Service Due,
,Devonport Naval Base Auckland.,on,,,,,,,,
,HMNZS Manawanui,,,,,,,,,
,HMNZS Matataua,on,,,,,,,,
,DUSS/ROV/DDS/MAKO Systems,on,,,,,,,,
,Navigator Delta Systems,on,,,,,,,,
,Navigator Delta D115,on,Navigator Delta, HRSA-40688,DUSS,"Nov 19, 2024",2A Service and Upgrade,1A Service,"Nov 19, 2025",
,Navigator Delta D112 (Delta 2 Mod),on,Navigator Delta,HRSA-40655,DUSS,"Nov 09, 2023",2A Servuce and D2 Upgrade.,1A Service,"Nov 09, 2024",
,Navigator Delta D113 (Delta 2 Mod),on,Navigator Delta,HRSA-40666,DUSS,"May 29, 2023",1A Sevce and Upgrade to D2,1A Service,"May 29, 2024",
,Navigator Delta D114,on,Navigator Delta,HRSA-40677,DUSS,"Aug 13, 2024",2A Service,1A Service,"Aug 13, 2025",
,Navigator Delta D180 (Delta 2 Mod).,on,Navigator Delta,HMSH-67249,DUSS,"Feb 02, 2024",Repair and 2A Service,1A Service,"Feb 02, 2025",
,Navigator Delta D181 (Delta 2 Mod),on,Navigator Delta,HMSH-67250,DUSS,"May 12, 2023",2A Service,1A Service,"May 12, 2024",
,Navigator Delta D182 (Delta 2 Mod),on,Navigator Delta,HMSH-67261,DUSS,"Jun 12, 2024",Repair,2A Service,"May 12, 2024",
,Navigator Delta2  D404,on,Navigator Delta,ASHA-111158,DUSS,"Jan 27, 2022",New,1A Service,"Jan 27, 2023",
,Navigator Delta2  D406,on,Navigator Delta,ASHA-111170,DUSS,"Jan 27, 2022",New,1A Service,"Jan 27, 2023",
,Navigator Delta2  D407,on,Navigator Delta,ASHA-111181,DUSS,"Aug 09, 2024",2A Service,1A Service,"Aug 09, 2025",
,Navigator Delta2  D405,on,Navigator Delta,ASHA-111169,DUSS,"Oct 05, 2024",2A Service,1A Service,"Oct 05, 2025",
,Navigator Gamma Systems (Since Upgraded to Delta),,,,,,,,,
,Navigator Accessories,on,,,,,,,,
,Navigator Spares Kits,on,,,,,,,,
,Navigator Batteries,on,,,DUSS,,,,,
,Navigator Battery #2 (Manual Vent),,NBN-0002,SEHH-22240,,"Jun 26, 2018",,Offline,,
,Navigator Battery #4 (Manual Vent),,NBN-0002,SEHH-22307,,"Feb 15, 2019",,Offline,,
,Navigator Battery #1003 (Manual Vent),,NBN-0002,#1003,,"Aug 03, 2017",Missing,Offline (Missing).,,
,Navigator Battery #5A (Manual Vent),,NBN-0002,SEHH-22329,,"Mar 29, 2022",,Offline,,
,Navigator Battery #1A (Manual Vent),,NBN-0002,SEHH-22284,,"Feb 15, 2019",,Offline,,
,Navigator Battery #2A (Manual Vent).,on,NBN-0002,SEHH-22318,DUSS,"Mar 14, 2019",2A Service,2A Service,"Mar 13, 2020",
,Navigator Battery #5 (Manual Vent),,NBN-0002,#5,,"May 04, 2014",Missing,Offline (Missing),,
,Navigator Battery #1002 (Auto Vent).,on,NBN0002-0,HHSH-26536 ,DUSS,"May 12, 2023",1A Service & Repairs.,2A Service,"May 11, 2024",
,Navigator Battery #231 (Auto Vent),on,NBN0002-0,HRSU-42354,DUSS,"May 12, 2023",1A Service and Repairs,2A Service,"May 11, 2024",
,Navigator Battery #230 (Auto Vent),on,NBN0002-0,HRSU-42343,DUSS,"Jun 10, 2024",2A Service,1A Service,"Jun 09, 2024",
,Navigator Battery #1001 (Vented).,on,NBN-0002,HSSK-22947,DUSS,"Aug 15, 2017",Battery Cycle,2A Service,"Aug 13, 2018",
,Navigator Battery #3A (Manual Vent),on,NBN-0002,SEHH-22295,DUSS,"Feb 26, 2019",Service and Repairs,2A Service,"Feb 25, 2020",
,Navigator Battery #232 (Auto Vent),on,NBN0002-0,HRSU-42365,DUSS,"Sep 21, 2020",2A Service,2A Service,"Sep 20, 2021",
,Navigator Battery #233 (Auto Vent),on,NBN0002-0,HRSU-42376,DUSS,"Feb 03, 2022",1A Service,2A Service,"Feb 02, 2023",
,Navigator Battery #3 (Manual Vent),,NBN-0002,SEHH-22262,,"Jun 26, 2018",,Offline,,
,Navigator Battery #852 (Auto Vent),on,NBN0002-0,HRSB-93350,DUSS,"May 12, 2023",Repairs,2A Service,"May 11, 2020",
,Navigator Battery #853 (Auto Vent),on,NBN0002-0,HRSB-93361,DUSS,"Dec 20, 2019",New,2A Service,"Dec 19, 2020",
,Navigator Battery #854 (Auto Vent),on,NBN0002-0,HRSB-93439,DUSS,"Nov 20, 2024",2A Service,1A Service,"Nov 21, 2025",
,Navigator Battery #855 (Auto Vent),on,NBN0002-0,HRSB-93372,DUSS,"Dec 20, 2019",New,2A Service,"Dec 19, 2020",
,Navigator Battery #850 (Auto Vent),on,NBN0002-0,HRSM-92438,DUSS,"Oct 29, 2019",New,2A Service,"Oct 28, 2020",
,Navigator Battery #856 (Auto Vent),on,NBN0002-0,HRSB-93394,DUSS,"Jan 31, 2025",2A Service,1A Service,"Jan 31, 2026",
,Navigator Battery #857 (Auto Vent),on,NBN0002-0,HRSB-93383,DUSS,"Jan 30, 2025",2A Service,1A Service,"Jan 30, 2026",
,Navigator Battery #858 (Auto Vent),on,NBN0002-0,HRSB-93406,DUSS,"Jan 31, 2020",1A Service,2A Service,"Jan 30, 2021",
,Navigator Battery #859 (Auto Vent),on,NBN0002-0,HRSB-93417,DUSS,"Jan 30, 2025",2A Service,1A Service,"Jan 30, 2026",
,Navigator Battery #860 (Auto Vent),on,NBN0002-0,HRSB-93428,DUSS,"Feb 03, 2022",1A Service,2A Service,"Feb 03, 2023",
,Navigator Battery #863 (Auto Vent),on,NBN0002-0,HRSB-94373,DUSS,"Dec 19, 2019",New,2A Service,"Dec 18, 2020",
,Navigator Battery #864 (Auto Vent),on,NBN0002-0,HRHS-94384,DUSS,"Dec 19, 2019",New,2A Service,"Dec 18, 2020",
,Navigator Battery #865 (Auto Vent),on,NBN0002-0,HRHS-94395,DUSS,"May 12, 2023",1A Service,2A Service,"May 11, 2024",
,Navigator Battery #866 (Auto Vent),on,NBN0002-0,HRHS-94407,DUSS,"Dec 19, 2019",New,2A Service,"Dec 18, 2020",
,Navigator Battery #867 (Auto Vent),on,NBN0002-0,HRHS-94418,DUSS,"Dec 19, 2019",New,2A Service,"Dec 18, 2020",
,Navigator Battery #868 (Auto Vent),on,NBN0002-0,HRHS-94429,DUSS,"Nov 22, 2024",2A Service,1A Service,"Nov 21, 2025",
,Navigator Battery #869 (Auto Vent),on,NBN0002-0,HRHS-94430,DUSS,"May 12, 2023",1A Service,2A Service,"May 11, 2024",
,Navigator Battery #870 (Auto Vent),on,NBN0002-0,HRHS-94441,DUSS,"Dec 19, 2019",New,2A Service,"Dec 18, 2020",
,Navigator Battery #871 (Auto Vent),on,NBN0002-0,HRHS-94452,DUSS,"Jun 20, 2022",2A Service,2A Service,"Jun 20, 2023",
,Navigator Battery #872 (Auto Vent),on,NBN0002-0,HRHS-94463,DUSS,"Jun 20, 2022",2A Routine Service,2A Service,"Jun 19, 2023",
,Navigator Battery #873 (Auto Vent),on,NBN0002-0,HRHS-94474,DUSS,"Dec 19, 2019",New,2A Service,"Dec 18, 2020",
,Navigator Battery #977 (Auto Vent),on,NBN0002-0,ASHS-106696,DUSS,"May 01, 2021",New,2A Service,"May 01, 2022",
,Navigator Battery #986 (Auto Vent),on,NBN0002-0,ASHS-106785,DUSS,"Jul 27, 2022",New,2A Service,"Jan 26, 2023",
,Navigator Battery #987 (Auto Vent),on,NBN0002-0,ASHS-106796,DUSS,"Jan 27, 2022",New,2A Service,"Jan 26, 2023",
,Navigator Battery #991 (Auto Vent),on,NBN0002-0,ASHS-106830,DUSS,"Jan 27, 2022",New,2A Service,"Jan 26, 2023",
,Navigator Battery #980 (Auto Vent),on,NBN0002-0,ASHS-106729,DUSS,"Jan 27, 2022",New,2A Service,"Jan 26, 2023",
,Navigator Battery #981 (Auto Vent),on,NBN0002-0,ASHS-106730,DUSS,"Jan 30, 2025",2A Service,1A Service,"Jan 30, 2026",
,Navigator Battery #988 (Auto Vent),on,NBN0002-0,ASHS-106807,DUSS,"Jan 27, 2022",New,2A Service,"Jan 26, 2023",
,Navigator Battery #982 (Auto Vent),on,NBN0002-0,ASHS-106741,DUSS,"Aug 09, 2022",Repair,2A Service,"Aug 08, 2023",
,Navigator Battery #983 (Auto Vent),on,NBN0002-0,ASHS-106752,DUSS,"Jan 27, 2022",New,2A Service,"Jan 26, 2023",
,Navigator Battery #989 (Auto Vent),on,NBN0002-0,ASHS-106818,DUSS,"Jan 27, 2022",New,2A Service,"Jan 26, 2023",
