Location,Name,Asset Status,Model,Serial Number,Unspc Code,Date of Last Service,Last Service Description,Next Service Description,Next Service Due,
,Navigator Battery #981 (Auto Vent),on,NBN0002-0,ASHS-106730,DUSS,"Jan 30, 2025",2A Service,1A Service,"Jan 30, 2026",
,Navigator Battery #988 (Auto Vent),on,NBN0002-0,ASHS-106807,DUSS,"Jan 27, 2022",New,2A Service,"Jan 26, 2023",
,Navigator Battery #982 (Auto Vent),on,NBN0002-0,ASHS-106741,DUSS,"Aug 09, 2022",Repair,2A Service,"Aug 08, 2023",
,Navigator Battery #983 (Auto Vent),on,NBN0002-0,ASHS-106752,DUSS,"Jan 27, 2022",New,2A Service,"Jan 26, 2023",
,Navigator Battery #989 (Auto Vent),on,NBN0002-0,ASHS-106818,DUSS,"Jan 27, 2022",New,2A Service,"Jan 26, 2023",
,Navigator Battery #984 (Auto Vent),on,NBN0002-0,ASHS-106763,DUSS,"Jan 30, 2025",2A Service,1A Service,"Jan 30, 2026",
,Navigator Battery #985 (Auto Vent),on,NBN0002-0,ASHS-106774,DUSS,"Jan 27, 2022",New,2A Service,"Jan 26, 2023",
,Navigator Battery #990 (Auto Vent),on,NBN0002-0,ASHS-106829,DUSS,"Jan 27, 0202",New,2A Service,"Jan 26, 2023",
,Navigator Battery (Auto Vent).,on,NBN0002-0,ASHS-106929 ,DUSS,"Jan 27, 2022",New,2A Service,"Jan 26, 2023",
,Navigator Battery #1147 (Auto Vent).,on,NBN0002-0,ARSK-134953,DUSS,"Sep 08, 2023",New,1A Service,"Sep 07, 2024",
,Navigator Sonars,on,,,20-005-3648 (900),,,,,
,Navigator Cameras,on,,,,,,,,
,Navigator Floating GPS ,on,GPSS0000-0,,,,,,,
,Navigator Battery Chargers,,"NBC0003, NBC0003 (R2) (uplink)",,,,,,,
,Navigator Surface GPS.,on,P/N: NGPS0000,,,,,,,
,Navigator LBL Sets,on,,,,,,,,
,Navigator DNS,on,DNS,,,,,,,
,Navigator Altimeter,on,,,,,,,,
,DiveLog ToughBooks CF-54H1635VA,on,CF-54H1635VA,,,,,,,
,DiveLog Security Dongles,on,USB 905-687-6672,As listed:-,,,,,,
,Panasonic Toughbooks for DF2 Divelog,on,,,,,,,,
,Navigator LiPo Batteries,on,11116900,,,,,,,
,Navigator LiPo Battery Chargers,on,11117071,,,,,,,
,Rapid Beach Profiling System,on,NAVRBPS,,,,,,,
,Navigator Magnetometer Probe #SBHA-20428,on,SDM-4000   9600 bauds,SBHA-20428,DUSS,"Oct 05, 2018",2A Service,1A Service and Checks.,"Oct 05, 2019",
,Divelog Desktop Software,on,,,,,,,,
,MAKO DIVER DELIVERY SYSTEM,on,MAKO mk.6,,,,,,,
,BARRACUDA ROV SYSTEM,on,BARRACUDA - P/N 11114259,HNSR-56900 (vehicle),,,,,,
,REMUS 100 AUV Systems.,on,,,,,,,,
,Edgetech PORT System,on,,,,,,,,
,Seatex MRU Systems,on,,,,,,,,
,Fugro GNSS Systems.,on,,,,,,,,
,Sidescan Systems,on,,,,,,,,
,SeeByte Packages,on,,,,,,,,
,Edgetech BATS System,on,,,,,,,,
,MURENA Exercise Mine Outfit,on,,,,,,,,
,REMUS 300 Systems.,on,,,,,,,,
,New Zealand Ocean Technology Ltd,on,,,,,,,,
,RNZAF Base Whenuapai,on,,,,,,,,
,Scrapped Equipment.,on,,,,,,,,
,NZ Police Dive Team,on,,,,,,,,
,
